op,key,latency_ms,status,version,stale
read,key0016,7.401,200,202,false
read,key0036,7.527,200,211,false
read,key0007,58.527,200,231,false
read,key0035,58.806,200,227,false
read,key0013,58.514,200,185,false
read,key0028,60.533,200,212,false
read,key0028,58.722,200,212,false
read,key0039,58.540,404,0,false
read,key0013,58.944,200,185,false
read,key0045,51.594,200,224,false
read,key0008,53.390,200,236,false
read,key0026,53.350,200,144,false
read,key0032,53.460,200,184,false
read,key0032,55.364,200,184,false
read,key0042,3.139,200,233,false
read,key0028,1.956,200,212,false
read,key0034,2.430,200,217,false
read,key0014,53.707,200,215,false
write,key0031,317.965,201,0,false
write,key0008,331.107,201,0,false
write,key0030,330.492,201,0,false
write,key0005,332.199,201,0,false
write,key0007,331.262,201,0,false
write,key0011,330.692,201,0,false
write,key0041,331.956,201,0,false
write,key0014,331.724,201,0,false
write,key0000,332.056,201,0,false
write,key0012,324.579,201,0,false
write,key0006,333.268,201,0,false
read,key0034,1.634,200,217,false
write,key0047,333.432,201,0,false
write,key0001,326.045,201,0,false
read,key0015,1.647,200,182,false
read,key0045,0.867,200,224,false
write,key0027,313.158,201,0,false
write,key0006,312.942,201,0,false
read,key0030,52.485,200,240,true
read,key0009,52.545,200,200,false
read,key0027,53.179,200,251,true
read,key0031,53.027,200,241,true
read,key0007,52.757,200,244,true
read,key0038,52.111,200,220,false
read,key0013,53.066,200,185,false
write,key0019,312.500,201,0,false
write,key0006,310.679,201,0,false
read,key0022,0.680,200,201,false
write,key0031,314.089,201,0,false
write,key0010,312.554,201,0,false
read,key0046,62.100,200,143,false
read,key0018,51.114,200,164,false
read,key0022,51.803,200,201,false
write,key0008,305.278,201,0,false
read,key0004,53.925,200,157,false
read,key0003,50.784,200,221,false
read,key0023,55.238,200,219,false
read,key0044,55.291,200,209,false
read,key0043,53.255,200,192,false
write,key0044,309.588,201,0,false
write,key0017,310.477,201,0,false
write,key0002,310.805,201,0,false
write,key0043,311.054,201,0,false
write,key0003,313.338,201,0,false
write,key0006,313.376,201,0,false
write,key0044,308.559,201,0,false
write,key0048,307.883,201,0,false
read,key0047,52.120,200,238,true
write,key0032,310.778,201,0,false
write,key0024,312.003,201,0,false
read,key0019,56.552,200,252,true
write,key0016,318.031,201,0,false
write,key0024,321.272,201,0,false
read,key0036,1.862,200,211,false
write,key0042,308.499,201,0,false
write,key0037,309.204,201,0,false
write,key0025,306.837,201,0,false
write,key0034,311.106,201,0,false
write,key0034,314.951,201,0,false
read,key0026,58.293,200,144,false
write,key0006,306.680,201,0,false
read,key0015,1.170,200,182,false
read,key0048,52.185,200,264,true
read,key0032,51.647,200,267,true
read,key0034,0.446,200,279,true
read,key0022,51.104,200,201,false
read,key0015,52.496,200,182,false
read,key0006,51.185,200,274,true
write,key0034,310.905,201,0,false
read,key0024,51.577,200,266,true
write,key0035,308.817,201,0,false
write,key0001,305.318,201,0,false
write,key0034,309.079,201,0,false
write,key0030,311.588,201,0,false
write,key0039,307.627,201,0,false
read,key0046,1.417,200,143,false
write,key0021,307.912,201,0,false
write,key0026,307.816,201,0,false
write,key0049,307.195,201,0,false
write,key0021,309.131,201,0,false
read,key0019,52.343,200,252,true
read,key0007,51.816,200,244,true
write,key0044,307.625,201,0,false
write,key0029,310.489,201,0,false
write,key0018,309.891,201,0,false
write,key0020,305.825,201,0,false
read,key0007,54.239,200,244,true
read,key0042,54.426,200,270,true
write,key0025,311.489,201,0,false
write,key0035,311.534,201,0,false
read,key0012,53.790,200,249,true
write,key0042,306.953,201,0,false
read,key0032,2.118,200,300,true
read,key0024,0.876,200,266,true
read,key0004,53.130,200,157,false
read,key0034,4.578,200,279,true
read,key0026,51.585,200,282,true
read,key0041,54.257,200,239,true
read,key0015,52.334,200,182,false
read,key0016,53.483,200,268,true
read,key0023,53.993,200,219,false
read,key0040,52.486,200,206,false
write,key0049,304.318,201,0,false
read,key0044,53.091,200,286,true
write,key0027,305.545,201,0,false
write,key0029,311.358,201,0,false
read,key0039,53.203,200,280,true
write,key0004,308.728,201,0,false
read,key0011,50.603,200,247,true
write,key0028,302.569,201,0,false
read,key0010,51.501,200,255,true
write,key0018,305.166,201,0,false
read,key0008,51.334,200,256,true
write,key0019,303.390,201,0,false
write,key0005,303.850,201,0,false
write,key0042,304.772,201,0,false
write,key0032,304.128,201,0,false
write,key0006,307.419,201,0,false
write,key0018,307.386,201,0,false
write,key0015,304.146,201,0,false
read,key0040,52.173,200,206,false
write,key0027,302.781,201,0,false
read,key0016,51.710,200,268,true
read,key0042,51.708,200,301,true
read,key0006,0.881,200,319,true
read,key0044,51.157,200,286,true
read,key0034,50.991,200,279,true
write,key0009,303.517,201,0,false
write,key0020,305.572,201,0,false
read,key0034,54.262,200,279,true
write,key0047,308.961,201,0,false
read,key0029,52.675,200,294,true
write,key0025,306.553,201,0,false
write,key0018,305.550,201,0,false
write,key0009,308.147,201,0,false
write,key0027,305.237,201,0,false
read,key0026,51.508,200,282,true
read,key0046,51.163,200,143,false
read,key0038,2.314,200,327,false
read,key0035,0.805,200,289,true
write,key0005,306.466,201,0,false
write,key0048,310.154,201,0,false
write,key0003,304.331,201,0,false
write,key0008,304.494,201,0,false
write,key0004,303.671,201,0,false
read,key0029,51.700,200,294,true
write,key0039,303.480,201,0,false
read,key0024,53.267,200,266,true
read,key0045,52.959,200,224,false
read,key0007,53.710,200,244,true
write,key0006,304.691,201,0,false
read,key0049,1.517,200,330,true
read,key0031,51.964,200,254,true
read,key0028,50.959,200,296,true
write,key0025,306.732,201,0,false
read,key0048,53.393,200,314,true
write,key0003,304.590,201,0,false
write,key0024,304.592,201,0,false
write,key0049,304.231,201,0,false
write,key0046,307.359,201,0,false
read,key0007,51.625,200,244,true
write,key0032,312.205,201,0,false
write,key0045,310.098,201,0,false
write,key0038,307.650,201,0,false
write,key0044,307.137,201,0,false
read,key0028,0.840,200,296,true
write,key0016,309.707,201,0,false
read,key0042,51.466,200,301,true
read,key0021,51.174,200,284,true
write,key0049,306.952,201,0,false
write,key0026,306.651,201,0,false
read,key0008,52.726,200,316,true
read,key0000,53.320,200,245,true
write,key0008,307.951,201,0,false
read,key0045,51.737,200,326,true
read,key0045,1.268,200,326,true
read,key0012,53.565,200,249,true
read,key0016,54.109,200,329,true
read,key0028,51.142,200,296,true
write,key0022,302.629,201,0,false
read,key0009,52.567,200,311,true
read,key0015,51.930,200,304,true
write,key0043,302.462,201,0,false
read,key0021,0.449,200,284,true
write,key0011,304.263,201,0,false
read,key0002,51.570,200,260,true
read,key0046,51.856,200,324,true
write,key0046,305.727,201,0,false
write,key0011,305.322,201,0,false
write,key0004,303.735,201,0,false
read,key0006,52.231,200,319,true
read,key0015,51.313,200,304,true
write,key0012,320.868,201,0,false
read,key0031,52.238,200,254,true
read,key0018,52.542,200,310,true
write,key0022,305.639,201,0,false
read,key0036,0.348,200,348,false
read,key0035,53.010,200,289,true
read,key0005,50.810,200,313,true
read,key0039,51.514,200,318,true
read,key0036,53.389,200,211,false
read,key0019,51.673,200,298,true
write,key0004,304.550,201,0,false
read,key0046,51.062,200,336,true
write,key0040,309.814,201,0,false
write,key0018,309.480,201,0,false
read,key0004,50.995,200,341,true
write,key0027,305.473,201,0,false
read,key0048,0.747,200,349,true
read,key0031,50.875,200,254,true
read,key0048,2.304,200,349,true
write,key0014,306.930,201,0,false
write,key0030,309.958,201,0,false
read,key0005,0.711,200,362,true
read,key0004,51.176,200,341,true
read,key0023,1.026,200,219,false
read,key0005,0.873,200,362,true
write,key0043,306.418,201,0,false
read,key0009,51.440,200,311,true
read,key0022,52.097,200,340,true
write,key0036,304.596,201,0,false
read,key0020,56.216,200,307,true
write,key0048,303.983,201,0,false
write,key0031,305.181,201,0,false
read,key0044,52.138,200,328,true
write,key0045,309.305,201,0,false
read,key0014,52.445,200,345,true
write,key0035,306.842,201,0,false
read,key0016,52.640,200,329,true
write,key0021,305.324,201,0,false
read,key0006,52.613,200,319,true
read,key0033,51.636,200,129,false
read,key0022,0.420,200,340,true
read,key0019,52.431,200,298,true
write,key0002,307.069,201,0,false
read,key0028,51.328,200,296,true
write,key0002,305.707,201,0,false
write,key0033,305.431,201,0,false
read,key0011,52.048,200,337,true
write,key0006,306.995,201,0,false
write,key0042,303.528,201,0,false
read,key0036,51.752,200,348,true
write,key0049,305.342,201,0,false
write,key0006,303.672,201,0,false
write,key0019,305.015,201,0,false
write,key0005,306.925,201,0,false
write,key0028,304.325,201,0,false
write,key0029,304.376,201,0,false
read,key0016,51.379,200,329,true
read,key0029,51.119,200,363,true
write,key0006,306.606,201,0,false
read,key0007,53.318,200,244,true
write,key0031,304.296,201,0,false
write,key0007,308.907,201,0,false
read,key0036,54.375,200,348,true
read,key0026,55.266,200,331,true
write,key0039,303.611,201,0,false
write,key0029,305.513,201,0,false
write,key0026,311.746,201,0,false
write,key0034,310.398,201,0,false
write,key0022,310.579,201,0,false
read,key0035,52.621,200,352,true
write,key0000,303.083,201,0,false
write,key0012,304.689,201,0,false
write,key0023,314.178,201,0,false
