op,key,latency_ms,status,version,stale
read,key0032,56.137,200,3026,false
read,key0006,56.741,200,3019,false
read,key0038,56.906,200,2968,false
read,key0008,57.779,200,2989,false
read,key0008,57.846,200,2989,false
read,key0017,58.066,200,3019,false
read,key0019,58.203,200,2958,false
read,key0007,58.018,200,3028,false
read,key0038,57.951,200,2968,false
read,key0035,58.215,200,2943,false
read,key0008,60.127,200,2989,false
read,key0045,59.863,200,3016,false
read,key0011,60.912,200,2995,false
read,key0004,62.032,200,2970,false
read,key0044,61.877,200,2976,false
read,key0027,61.893,200,2977,false
read,key0046,62.349,200,3017,false
read,key0000,63.317,200,3021,false
read,key0040,51.825,200,2996,false
read,key0005,51.478,200,2992,false
read,key0000,50.770,200,3021,false
read,key0024,51.361,200,3000,false
read,key0021,51.029,200,3027,false
read,key0006,53.099,200,3019,false
read,key0039,54.101,200,3002,false
read,key0023,54.021,200,2999,false
read,key0032,51.534,200,3026,false
read,key0019,52.239,200,2958,false
read,key0024,52.258,200,3000,false
read,key0022,52.146,200,2964,false
read,key0027,57.035,200,2977,false
read,key0035,57.086,200,2943,false
read,key0016,52.521,200,3013,false
read,key0031,52.542,200,3018,false
read,key0035,52.636,200,2943,false
read,key0023,52.674,200,2999,false
read,key0040,50.987,200,2996,false
read,key0017,53.837,200,3019,false
read,key0014,53.850,200,2999,false
read,key0017,51.819,200,3019,false
read,key0049,52.562,200,2982,false
read,key0019,52.546,200,2958,false
read,key0047,54.333,200,3014,false
read,key0016,51.567,200,3013,false
read,key0002,51.670,200,2985,false
read,key0030,53.862,200,2991,false
read,key0002,52.275,200,2985,false
read,key0030,53.322,200,2991,false
read,key0007,55.115,200,3028,false
read,key0020,55.081,200,3012,false
read,key0032,54.053,200,3026,false
read,key0008,55.203,200,2989,false
read,key0032,55.277,200,3026,false
read,key0039,53.339,200,3002,false
read,key0036,51.688,200,2990,false
read,key0017,56.517,200,3019,false
read,key0041,54.402,200,3020,false
read,key0014,53.706,200,2999,false
read,key0013,58.746,200,3023,false
read,key0041,62.589,200,3020,false
read,key0038,52.797,200,2968,false
read,key0024,53.630,200,3000,false
read,key0002,51.437,200,2985,false
read,key0030,52.106,200,2991,false
read,key0030,52.183,200,2991,false
read,key0013,55.803,200,3023,false
read,key0014,56.395,200,2999,false
read,key0019,51.845,200,2958,false
read,key0031,55.142,200,3018,false
read,key0034,60.682,200,2996,false
read,key0047,60.621,200,3014,false
read,key0047,52.469,200,3014,false
read,key0046,51.797,200,3017,false
write,key0028,322.933,201,0,false
write,key0007,322.980,201,0,false
read,key0006,51.707,200,3019,false
read,key0027,55.796,200,2977,false
read,key0028,52.954,200,3016,true
read,key0027,63.196,200,2977,false
read,key0005,51.689,200,2992,false
read,key0009,51.675,200,3007,false
read,key0012,60.795,200,3010,false
read,key0023,54.048,200,2999,false
write,key0009,304.459,201,0,false
write,key0030,306.369,201,0,false
read,key0018,52.549,200,2997,false
read,key0028,51.109,200,3016,true
read,key0016,51.739,200,3013,false
read,key0034,50.922,200,2996,false
read,key0048,52.407,200,2998,false
read,key0028,54.955,200,3016,true
read,key0046,51.246,200,3017,false
read,key0048,54.012,200,2998,false
read,key0042,52.803,200,2994,false
read,key0029,54.431,200,3022,false
read,key0005,53.070,200,2992,false
write,key0005,303.572,201,0,false
read,key0023,53.586,200,2999,false
read,key0004,51.847,200,2970,false
write,key0025,308.904,201,0,false
read,key0036,51.566,200,2990,false
read,key0042,51.566,200,2994,false
read,key0031,51.943,200,3018,false
read,key0024,56.222,200,3000,false
read,key0038,52.498,200,2968,false
read,key0026,50.824,200,2993,false
read,key0018,52.734,200,2997,false
read,key0031,53.798,200,3018,false
read,key0023,52.386,200,2999,false
read,key0043,50.929,200,2977,false
write,key0018,304.076,201,0,false
read,key0013,52.548,200,3023,false
read,key0023,53.303,200,2999,false
write,key0022,308.665,201,0,false
read,key0011,50.905,200,2995,false
read,key0025,50.953,200,3013,true
read,key0038,53.087,200,2968,false
read,key0045,51.485,200,3016,false
read,key0041,51.525,200,3020,false
read,key0044,52.287,200,2976,false
read,key0000,51.331,200,3021,false
read,key0038,51.597,200,2968,false
read,key0040,53.242,200,2996,false
read,key0028,52.204,200,3016,true
read,key0038,51.844,200,2968,false
read,key0013,51.493,200,3023,false
read,key0001,54.240,200,2983,false
read,key0003,52.055,200,3025,false
read,key0041,53.421,200,3020,false
read,key0014,52.038,200,2999,false
read,key0007,50.958,200,3028,true
read,key0020,52.102,200,3012,false
read,key0004,52.846,200,2970,false
read,key0009,56.143,200,3007,true
read,key0016,51.746,200,3013,false
read,key0039,50.836,200,3002,false
read,key0007,51.746,200,3028,true
read,key0026,52.029,200,2993,false
read,key0017,54.866,200,3019,false
write,key0001,303.139,201,0,false
read,key0008,51.674,200,2989,false
write,key0022,307.514,201,0,false
read,key0031,50.723,200,3018,false
read,key0034,52.178,200,2996,false
read,key0042,52.213,200,2994,false
read,key0017,52.245,200,3019,false
read,key0008,51.489,200,2989,false
read,key0024,51.534,200,3000,false
write,key0031,309.655,201,0,false
read,key0007,51.918,200,3028,true
read,key0047,52.978,200,3014,false
read,key0008,55.636,200,2989,false
read,key0019,55.855,200,2958,false
read,key0044,55.821,200,2976,false
read,key0009,68.045,200,3007,true
read,key0040,84.220,200,2996,false
read,key0036,82.375,200,2990,false
read,key0040,91.597,200,2996,false
read,key0047,87.276,200,3014,false
read,key0004,93.091,200,2970,false
read,key0008,85.084,200,2989,false
read,key0007,75.841,200,3028,true
read,key0038,85.149,200,2968,false
read,key0014,98.620,200,2999,false
read,key0016,77.936,200,3013,false
read,key0037,92.672,200,3001,false
read,key0040,104.486,200,2996,false
read,key0022,126.274,200,2964,true
read,key0049,125.723,200,2982,false
read,key0029,62.972,200,3022,false
read,key0023,84.278,200,2999,false
read,key0013,147.033,200,3023,false
read,key0028,89.869,200,3016,true
read,key0013,149.186,200,3023,false
read,key0016,211.556,200,3013,false
write,key0029,426.079,201,0,false
write,key0008,441.328,201,0,false
read,key0012,140.676,200,3010,false
read,key0022,159.434,200,2964,true
read,key0048,158.705,200,2998,false
read,key0035,159.544,200,2943,false
read,key0014,77.348,200,2999,false
read,key0022,149.609,200,2964,true
read,key0046,103.172,200,3017,false
read,key0000,166.360,200,3021,false
read,key0037,247.693,200,3001,false
read,key0014,129.834,200,2999,false
read,key0037,196.828,200,3001,false
read,key0030,206.928,200,2991,true
read,key0022,69.155,200,2964,true
write,key0013,467.501,201,0,false
read,key0048,85.997,200,2998,false
read,key0012,75.589,200,3010,false
read,key0028,74.797,200,3016,true
read,key0020,84.272,200,3012,false
read,key0008,74.253,200,2989,true
read,key0013,78.501,200,3023,true
read,key0011,96.572,200,2995,false
read,key0022,60.543,200,2964,true
read,key0005,105.105,200,2992,true
read,key0017,59.725,200,3019,false
read,key0012,94.620,200,3010,false
read,key0015,106.478,200,3011,false
read,key0014,95.113,200,2999,false
read,key0038,110.957,200,2968,false
read,key0007,63.277,200,3028,true
read,key0034,53.126,200,2996,false
read,key0025,68.787,200,3013,true
read,key0020,61.607,200,3012,false
read,key0049,52.596,200,2982,false
read,key0041,51.918,200,3020,false
read,key0008,55.363,200,2989,true
read,key0049,56.702,200,2982,false
read,key0009,62.932,200,3007,true
read,key0005,61.472,200,2992,true
read,key0047,52.670,200,3014,false
read,key0037,51.835,200,3001,false
read,key0024,62.060,200,3000,false
read,key0008,55.934,200,2989,true
read,key0008,51.585,200,2989,true
read,key0013,64.539,200,3023,true
read,key0013,58.773,200,3023,true
read,key0048,54.180,200,2998,false
read,key0026,53.277,200,2993,false
read,key0006,50.744,200,3019,false
read,key0036,52.503,200,2990,false
read,key0015,50.955,200,3011,false
read,key0010,53.264,200,3015,false
read,key0007,52.125,200,3028,true
read,key0028,51.378,200,3016,true
read,key0048,52.660,200,2998,false
read,key0018,52.616,200,2997,true
read,key0041,52.221,200,3020,false
read,key0018,50.862,200,2997,true
read,key0028,51.360,200,3016,true
read,key0028,51.376,200,3016,true
read,key0008,51.929,200,2989,true
read,key0015,53.928,200,3011,false
